Major Group|Industry Group|Description
82|823|Libraries
82|824|Vocational Schools
82|829|Schools And Educational Services, Not Elsewhere
83|832|Individual And Family Social Services
83|833|Job Training And Vocational Rehabilitation
83|835|Child Day Care Services
83|836|Residential Care
83|839|Social Services, Not Elsewhere Classified
84|841|Museums And Art Galleries
84|842|Arboreta And Botanical Or Zoological Gardens
86|861|Business Associations
86|862|Professional Membership Organizations
86|863|Labor Unions And Similar Labor Organizations
86|864|Civic, Social, And Fraternal Associations
86|865|Political Organizations
86|866|Religious Organizations
86|869|Membership Organizations, Not Elsewhere
87|871|Engineering, Architectural, And Surveying
87|872|Accounting, Auditing, And Bookkeeping Services
87|873|Research, Development, And Testing Services
87|874|Management And Public Relations Services
88|881|Private Households
89|899|Miscellaneous Services
91|911|Executive Offices
91|912|Legislative Bodies
91|913|Executive And Legislative Offices Combined
91|919|General Government, Not Elsewhere Classified
92|921|Courts
92|922|Public Order And Safety
93|931|Public Finance, Taxation, And Monetary Policy
94|941|Administration Of Educational Programs
94|943|Administration Of Public Health Programs
94|944|Administration Of Social, Human Resource And
94|945|Administration Of Veteran's Affairs, Except
95|951|Administration Of Environmental Quality
95|953|Administration Of Housing And Urban
96|961|Administration Of General Economic Programs
96|962|Regulation And Administration Of Transportation
96|963|Regulation And Administration Of
96|964|Regulation Of Agricultural Marketing And
96|965|Regulation, Licensing, And Inspection Of
96|966|Space Research And Technology
97|971|National Security
97|972|International Affairs
99|999|Nonclassifiable Establishments
00|000|Unknown
